Forgetting Sarah Marshall,Nicholas Stoller,111
The Giver,Phillip Noyce,97
Triple 9,John Hillcoat,115
Perfetti sconosciuti,Paolo Genovese,97
Angry Birds,Clay Kaytis,97
Moonrise Kingdom,Wes Anderson,94
Hairspray,Adam Shankman,117
Safe Haven,Lasse Hallström,115
Focus,Glenn Ficarra,105
Ratatouille,Brad Bird,111
Stake Land,Jim Mickle,98
The Book of Eli,Albert Hughes,118
Cloverfield,Matt Reeves,85
Point Break,Ericson Core,114
Under the Skin,Jonathan Glazer,108
I Am Legend,Francis Lawrence,101
Men in Black 3,Barry Sonnenfeld,106
Super 8,J.J. Abrams,112
Law Abiding Citizen,F. Gary Gray,109
Up,Pete Docter,96
Maze Runner: The Scorch Trials,Wes Ball,131
Carol,Todd Haynes,118
Imperium,Daniel Ragussis,109
Youth,Paolo Sorrentino,124
Mr. Nobody,Jaco Van Dormael,141
City of Tiny Lights,Pete Travis,110
Savages,Oliver Stone,131
(500) Days of Summer,Marc Webb,95
Movie 43,Elizabeth Banks,94
Gravity,Alfonso Cuarón,91
The Boy in the Striped Pyjamas,Mark Herman,94
Shooter,Antoine Fuqua,124
The Happening,M. Night Shyamalan,91
Bone Tomahawk,S. Craig Zahler,132
Magic Mike XXL,Gregory Jacobs,115
Easy A,Will Gluck,92
Exodus: Gods and Kings,Ridley Scott,150
Chappie,Neill Blomkamp,120
The Hobbit: The Desolation of Smaug,Peter Jackson,161
Half of a Yellow Sun,Biyi Bandele,111
Anthropoid,Sean Ellis,120
The Counselor,Ridley Scott,117
Viking,Andrey Kravchuk,133
Whiskey Tango Foxtrot,Glenn Ficarra,112
Trust,David Schwimmer,106
Birth of the Dragon,George Nolfi,103
Elysium,Neill Blomkamp,109
The Green Inferno,Eli Roth,100
Godzilla,Gareth Edwards,123
The Bourne Legacy,Tony Gilroy,135
A Good Year,Ridley Scott,117
Friend Request,Simon Verhoeven,92
Deja Vu,Tony Scott,126
Lucy,Luc Besson,89
A Quiet Passion,Terence Davies,125
Need for Speed,Scott Waugh,132
Jack Reacher,Christopher McQuarrie,130
The Do-Over,Steven Brill,108
True Crimes,Alexandros Avranas,92
American Pastoral,Ewan McGregor,108
The Ghost Writer,Roman Polanski,128
Limitless,Neil Burger,105
Spectral,Nic Mathieu,107
P.S. I Love You,Richard LaGravenese,126
Zipper,Mora Stephens,103
Midnight Special,Jeff Nichols,112
Don't Think Twice,Mike Birbiglia,92
Alice in Wonderland,Tim Burton,108
Chuck,Philippe Falardeau,98
"I, Daniel Blake",Ken Loach,100
The Break-Up,Peyton Reed,106
Loving,Jeff Nichols,123
Fantastic Four,Josh Trank,100
The Survivalist,Stephen Fingleton,104
Colonia,Florian Gallenberger,106
The Boy Next Door,Rob Cohen,91
The Gift,Joel Edgerton,108
Dracula Untold,Gary Shore,92
In the Heart of the Sea,Ron Howard,122
Idiocracy,Mike Judge,84
The Expendables,Sylvester Stallone,103
Evil Dead,Fede Alvarez,91
Sinister,Scott Derrickson,110
Wreck-It Ralph,Rich Moore,101
Snow White and the Huntsman,Rupert Sanders,127
Pan,Joe Wright,111
Transformers: Dark of the Moon,Michael Bay,154
Juno,Jason Reitman,96
A Hologram for the King,Tom Tykwer,98
Money Monster,Jodie Foster,98
The Other Woman,Nick Cassavetes,109
Enchanted,Kevin Lima,107
The Intern,Nancy Meyers,121
Little Miss Sunshine,Jonathan Dayton,101
Bleed for This,Ben Younger,117
Clash of the Titans,Louis Leterrier,106
The Finest Hours,Craig Gillespie,117
Tron,Joseph Kosinski,125
The Hunger Games: Catching Fire,Francis Lawrence,146
All Good Things,Andrew Jarecki,101
Kickboxer: Vengeance,John Stockwell,90
The Last Airbender,M. Night Shyamalan,103
Sex Tape,Jake Kasdan,94
What to Expect When You're Expecting,Kirk Jones,110
Moneyball,Bennett Miller,133
Ghost Rider,Mark Steven Johnson,114
Unbroken,Angelina Jolie,137
Immortals,Tarsem Singh,110
Sunshine,Danny Boyle,107
Brave,Mark Andrews,93
Män som hatar kvinnor,Niels Arden Oplev,152
Adoration,Anne Fontaine,112
The Drop,Michaël R. Roskam,106
She's the Man,Andy Fickman,105
Daddy's Home,Sean Anders,96
Let Me In,Matt Reeves,116
Never Back Down,Jeff Wadlow,110
Grimsby,Louis Leterrier,83
Moon,Duncan Jones,97
Megamind,Tom McGrath,95
Gangster Squad,Ruben Fleischer,113
Blood Father,Jean-François Richet,88
He's Just Not That Into You,Ken Kwapis,129
Kung Fu Panda 3,Alessandro Carloni,95
The Rise of the Krays,Zackary Adler,110
Handsome Devil,John Butler,95
Winter's Bone,Debra Granik,100
Horrible Bosses,Seth Gordon,98
Mommy,Xavier Dolan,139
Hellboy II: The Golden Army,Guillermo del Toro,120
Beautiful Creatures,Richard LaGravenese,124
Toni Erdmann,Maren Ade,162
The Lovely Bones,Peter Jackson,135
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,160
Don Jon,Joseph Gordon-Levitt,90
Bastille Day,James Watkins,92
